Year,Total,Federal,State,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1978,307276,29803,277473,5625,712,3456,2654,21325,2486,3189,1325,2864,21436,11317,727,802,11258,4923,1982,2341,3390,7291,711,7966,2806,14944,1954,2896,5637,690,1347,1350,283,5869,1593,20459,13252,200,13107,4186,2879,7814,664,7536,532,5835,24575,911,441,8344,4487,1237,3432,433
1979,314457,26371,288086,5464,760,3749,3042,22632,2668,4061,1419,2973,19748,12106,856,830,11935,5667,2272,2290,3691,7618,776,7860,2924,15002,2094,3508,5279,715,1291,1566,316,5852,1556,20856,14255,186,13360,4250,3179,7772,738,7643,562,6629,26522,960,431,8449,4342,1251,3677,504
1980,329821,24363,305458,6543,822,4372,2911,24569,2629,4308,1474,3145,20735,12178,985,817,11899,6683,2481,2494,3588,8889,814,7731,3185,15124,2001,3902,5726,739,1446,1839,326,5884,1279,21815,15513,253,13489,4796,3177,8171,813,7862,635,7022,29892,932,480,8920,4399,1257,3980,534
1981,369930,28133,341797,7657,1024,5223,3328,29202,2772,5263,1712,3479,23589,12444,1207,957,14328,8022,2670,2770,3993,9415,992,9335,3889,15157,1966,4624,6489,831,1488,2116,398,7011,1497,25494,15770,280,14968,5281,3295,9365,962,8538,693,7897,31502,1140,534,9388,5336,1565,4385,556
1982,413806,29673,384133,9233,1322,6069,3922,34640,3042,5156,2068,4081,27830,14405,1461,1044,14293,8790,2829,3078,4031,10930,1110,11617,4334,14913,2081,5484,7445,914,1739,2753,445,8191,1718,27945,16569,322,17317,6500,3900,10508,1037,9137,791,7869,36149,1216,599,10079,6264,1547,4714,702
1983,436855,31926,404929,9856,1631,6889,4246,39373,3244,5474,2198,4344,26334,15358,1700,1187,15595,9296,2814,3705,4773,12812,1082,12617,4482,14510,2113,5586,8103,903,1629,3188,479,9192,1977,30510,15395,410,18007,7480,3952,11767,1157,9576,826,8201,35259,1274,497,10093,6658,1611,4845,721
1984,462002,34263,427739,10482,1967,7845,4482,43197,3231,5718,2202,4521,26914,15404,1965,1253,17114,9328,2836,4244,4820,13659,1032,13124,4883,14604,2167,6115,8770,964,1655,3488,581,10363,2129,33109,16371,432,18619,7872,4224,13090,1221,9892,921,7307,36682,1504,501,10839,6821,1579,4974,724
1985,502507,40223,462284,11015,2329,8531,4611,50158,3386,6149,2553,6404,28600,16262,2111,1344,18634,10056,2687,4732,4981,13890,1317,13005,5390,17755,2343,6392,9796,1129,1814,3771,683,11335,2313,34507,17344,422,20864,8330,4376,14227,1306,10510,1049,7127,37532,1633,677,12073,6919,1725,5425,762
1986,544972,44408,500564,11710,2460,9434,4701,59484,3804,6905,2833,6618,32237,16922,2180,1448,19456,10175,2777,5345,5288,14300,1316,13326,5636,20742,2462,6747,10309,1111,2044,4551,782,12020,2416,38449,17698,421,22463,9708,4770,15201,1358,11676,1081,7591,38534,1776,697,12930,6603,1472,5736,861
1987,585084,48300,536784,12827,2528,10948,5441,66975,4808,7511,2982,7645,32445,18575,2264,1435,19850,10827,2851,5781,6437,15375,1299,13467,6268,23879,2546,6880,11357,1207,2086,4434,867,15969,2670,40842,17218,430,24240,9639,5457,16267,1428,12664,1133,7639,38821,1853,759,13321,6131,1449,6143,916
1988,627600,49928,577672,12610,2588,12095,5519,76171,5765,8005,3197,8831,34732,18787,2300,1581,21081,11406,3034,5817,7119,16242,1277,14276,6757,27612,2799,7384,12176,1272,2156,4881,1019,16936,2825,44560,17078,466,26462,10448,5991,17900,1906,13888,1020,7732,40437,1961,820,14184,5816,1455,6353,945
1989,712364,59171,653193,13907,2744,13251,6649,87297,6908,9301,3458,9954,39999,20885,2459,1850,24712,12341,3584,5616,8289,17257,1455,16514,7524,31639,3103,7911,13921,1328,2393,5112,1166,19439,3158,51232,17454,451,30538,11608,6156,20469,2479,15720,1256,10630,44022,2394,905,16477,6928,1536,6788,1026
1990,773919,65526,708393,15665,2622,14261,7322,97309,7671,10500,3471,9947,44387,22411,2533,1961,27516,12736,3967,5775,9023,18599,1523,17848,8345,34267,3176,8375,14943,1425,2403,5322,1342,21128,3187,54895,18411,483,31822,12285,6492,22290,2392,17319,1341,10388,50042,2496,1049,17593,7995,1565,7465,1110
1991,825559,71608,753951,16760,2706,15415,7766,101808,8392,10977,3717,10455,46533,23743,2700,2143,29115,13719,4145,5903,9799,20003,1579,19291,9415,36423,3472,8904,15897,1478,2526,5823,1533,23483,3119,57862,18903,492,35744,13340,6732,23388,2771,18269,1374,11474,51677,2625,1118,19829,9156,1502,7854,1099
1992,882500,80259,802241,17453,2865,16477,8285,109496,8997,11403,4062,10875,48302,25290,2926,2256,31640,13945,4518,6028,10364,20980,1519,19977,10053,39113,3822,8905,16195,1548,2514,6049,1777,22653,3271,61736,20454,477,38378,14821,6583,24974,2775,18643,1487,11849,60467,2699,1254,21199,9959,1674,8191,1063
1993,969301,89587,879714,18624,2703,17811,8625,119951,9462,13691,4210,10845,53048,27783,3129,2606,34495,14470,4898,5727,10440,22468,1469,20264,10229,39318,4200,9907,16178,1541,2518,6412,1775,23831,3498,64569,21892,498,40641,16409,6557,26050,2783,18704,1553,12824,92013,2888,1223,22850,10419,1805,8781,1129
1994,1054702,95034,959668,19573,3292,19746,8957,126091,10717,14380,4466,10949,57163,33425,3333,2811,36531,15014,5437,6371,11066,24063,1474,20998,11293,40631,4575,10930,17898,1764,2711,6993,2021,24632,3712,66750,23648,536,41908,16631,6936,28302,2919,18999,1708,14401,118195,3045,1301,26968,10833,2332,10022,1217
1995,1125874,100250,1025624,20718,3522,21341,8910,135646,11063,14802,4836,9800,63879,34266,3560,3328,37658,16125,5906,7054,12060,25195,1396,21453,11687,41112,4846,12684,19134,1999,3074,7713,2015,27066,4078,68486,29253,608,44663,18151,7886,32416,2902,19611,1871,15206,127766,3471,1279,27415,11608,2512,11199,1395
1996,1181919,105544,1076375,21760,3716,22493,9407,146049,12438,16571,5110,9376,63763,35139,4011,3832,38852,16960,6342,7756,12910,26779,1426,22050,11796,42349,5158,13859,22003,2230,3287,8325,2062,27490,4724,69709,30647,722,46174,19593,8661,34537,3271,20446,2063,15626,132383,4002,1119,27655,12527,2749,12991,1477
1997,1240659,112973,1127686,22290,4165,23484,10021,155790,13461,17241,5435,9353,64626,36505,4978,3911,40788,17903,6938,7911,14600,29265,1620,22232,11947,44771,5326,14296,23664,2541,3402,9024,2168,28361,4688,69108,31612,797,48016,20542,7999,34964,3371,21173,2242,16659,140351,4301,1270,28385,13214,3148,16280,1549
1998,1307154,123041,1184113,22676,4097,25515,10638,161904,14312,17605,5558,9829,67224,39262,4924,4083,43051,19197,7394,8183,14987,32228,1691,22572,11799,45879,5572,16678,25060,2734,3676,9651,2169,31121,5078,72289,31961,915,48450,20892,9034,36377,3445,21764,2422,21438,144510,4907,1473,30276,14161,3478,18403,1571
1999,1363686,135246,1228440,24658,3949,25986,11415,163067,15670,18639,6983,8652,69596,42091,4903,4842,44660,19309,7232,8567,15317,34066,1716,23095,11356,46617,5969,18247,26155,2951,3688,9494,2257,31493,5174,72899,31086,943,46842,22393,9860,36525,3003,22008,2506,22502,163190,5322,1536,29789,14590,3532,20390,1710
2000,1394231,145416,1248815,26406,4173,26510,11915,163001,16833,18355,6921,10352,71319,44232,5053,5535,45281,20125,7955,8344,14919,35207,1679,23538,10722,47718,6238,20241,27543,3105,3895,10063,2257,29784,5342,70199,31266,1076,45833,23181,10580,36847,3286,21778,2616,22166,166719,5637,1697,30168,14915,3856,20754,1680
2001,1404032,156993,1247039,26741,4571,27710,12594,159444,17448,19196,7003,-,72404,45937,5431,5984,44348,20966,7962,8577,15424,35810,1704,23752,10588,48849,6606,21460,28757,3328,3937,10233,2392,28142,5668,67533,32253,1111,45281,22780,11410,38062,3241,22576,2790,23671,162070,5339,1741,31662,15159,4215,21495,1684
2002,1440144,163528,1276616,27947,4398,29359,13091,161361,18833,20720,6778,-,75210,47445,5423,5746,42693,21611,8398,8935,15820,36032,1900,24162,10329,50591,7129,22705,30099,3323,4058,10478,2451,27891,5991,67065,32832,1112,45646,22802,12085,40168,3520,23715,2918,24989,162003,5562,1863,34973,16062,4544,22113,1737
2003,1468601,173059,1295542,27913,4527,31170,13315,164487,19671,19846,6794,-,82012,47208,5828,5737,43418,23069,8546,9132,16622,36047,2013,23791,10232,49358,7865,20589,30303,3620,4040,10543,2434,27246,6223,65198,33560,1239,44778,22821,12715,40890,3527,23719,3026,25403,166911,5763,1944,35067,16148,4758,22604,1872
2004,1497100,180328,1316772,25887,4554,32515,13807,166556,20293,19497,6927,-,85533,51104,5960,6375,44054,24008,8525,8966,17814,36939,2024,23285,10144,48883,8758,20983,31081,3164,4130,11365,2448,26757,6379,63751,35434,1327,44806,24508,13183,40963,3430,23428,3095,25884,168105,5991,1968,35564,16614,5067,22959,1980
2005,1525910,187618,1338292,27888,4812,33471,13511,170676,21456,19442,6944,-,89768,48749,6146,6818,44919,24455,8737,9068,19662,36083,2023,22737,10701,49546,9281,20515,30823,3509,4455,11782,2530,27359,6571,62743,36365,1385,45854,24826,13411,42380,3654,23160,3463,26369,169003,6382,2078,35344,17382,5312,22697,2047
2006,1568674,193046,1375628,28241,5069,35801,13729,175512,22481,20566,7186,-,92969,52792,5967,7124,45106,26091,8838,8816,20000,37012,2120,22945,11032,51577,9108,21068,30167,3563,4407,12839,2805,27371,6639,63315,37460,1363,49166,24288,13707,44397,3996,23616,3359,25745,172116,6433,2215,36688,17561,5733,23415,2114
2007,1596835,199618,1397217,29412,5167,37746,14314,174282,22841,20924,7257,-,98219,54256,5978,7319,45215,27132,8732,8696,22457,37540,2148,23433,11436,50233,9468,22431,29857,3431,4505,13400,2943,26827,6466,62620,37970,1416,50731,24603,13948,45969,4018,24239,3311,26267,171790,6515,2116,37984,17772,6056,23743,2084
2008,1608282,201280,1407002,30508,5014,39502,14716,173670,23274,20661,7057,-,102388,52719,5955,7290,45474,28322,8766,8539,21706,38381,2195,23324,11408,48738,9910,22754,30186,3517,4520,12743,2702,25953,6322,60347,39482,1452,51686,24660,14167,49215,4045,24326,3342,27228,172506,6552,2116,38216,17926,6059,23379,2084
2009,1615487,208118,1407369,31874,5285,40544,15208,171275,22795,19716,6775,-,103915,56986,5891,7400,45161,28808,8813,8641,21638,39780,2206,22255,11316,45478,9986,21482,30563,3605,4474,12482,2731,25382,6363,58687,39860,1486,51606,24803,14403,51429,3674,24288,3434,26965,171249,6538,2220,38059,18233,6367,23165,2075
2010,1613803,209771,1404032,31764,5391,40209,16204,165062,22815,19321,6615,-,104306,56432,5912,7431,48418,28028,9455,9051,20544,39445,2154,22645,11313,44165,9796,21067,30623,3716,4587,12653,2761,25007,6763,56656,40382,1487,51712,26252,14876,51264,3357,23578,3434,27451,173649,6807,2079,37638,18235,6681,22729,2112
2011,1598968,216362,1382606,32270,5597,40020,16108,149569,21978,18324,6739,-,103055,55944,6037,7739,48427,28906,9116,9327,21545,39710,2145,22558,11623,42940,9800,21386,30833,3678,4616,12778,2614,23834,6998,55436,39440,1423,50964,25977,14510,51578,3337,22914,3535,28479,172224,6879,2053,38130,17847,6826,22657,2183
2012,1570397,217815,1352582,32431,5633,40080,14654,134534,20462,17530,6914,-,101930,55457,5831,7985,49348,28831,8733,9682,22110,40172,2108,21522,11308,43636,9938,22319,31247,3609,4705,12883,2790,23225,6727,54210,37136,1512,50876,25225,14840,51125,3318,22388,3650,28411,166372,6962,2034,37044,17271,7070,22600,2204
2013,1576950,215866,1361084,32381,5081,41177,17235,135981,20371,17563,7004,-,103028,54004,5632,8242,48653,29913,8697,9763,21030,39299,2173,21335,10950,43759,10289,21969,31537,3642,5026,13056,3018,22452,6931,53550,36922,1576,51729,27547,15517,51422,3361,22060,3682,28521,168280,7077,2078,36982,17984,6824,22471,2310
2014,1562319,210567,1351752,31771,5794,42259,17874,136085,20646,16636,6955,-,102870,52949,5866,8117,48278,29271,8838,9877,21657,38030,2242,21011,10713,43390,10637,18793,31942,3699,5441,12537,2963,21590,7021,52518,37096,1718,51519,27650,15075,50694,3359,21401,3608,28769,166043,7031,1979,37544,18120,6896,22597,2383
2015,1526603,196455,1330148,30810,5338,42719,17707,129593,20041,15816,6654,-,101424,52193,5879,8052,46240,27355,8849,9857,21701,36377,2279,20764,9922,42628,10798,18911,32330,3685,5372,13071,2897,20489,7104,51727,36617,1795,52233,28547,15245,49858,3248,20929,3564,28172,163909,6495,1750,38403,18284,7118,22975,2424
2016,1508129,189192,1318937,28883,4434,42320,17537,130084,19981,14957,6585,-,99974,53627,5602,8252,43657,25546,9031,9920,23022,35682,2404,19994,9403,41122,10592,19192,32461,3814,5302,13757,2818,19786,7055,50716,35697,1791,52175,29916,15166,49244,3103,20858,3831,28203,163703,6175,1735,37813,19104,7162,23377,2374
2017,1489189,183058,1306131,27608,4399,42030,18070,131039,19946,14040,6443,-,98504,53667,5630,8579,41427,26024,9024,10015,23543,33739,2404,19367,9133,39666,10708,19103,32601,3698,5313,13721,2750,19585,7276,49461,36394,1723,51478,28143,15218,48333,2861,19906,3970,28980,162523,6219,1546,37158,19656,7092,23945,2473
2018,1464385,179898,1284487,26841,4380,42005,17799,128625,20372,13681,6067,-,97538,53647,5375,8664,39965,26877,9419,10218,23431,32397,2425,18856,8692,38761,10101,19275,30369,3765,5491,13641,2722,19362,7030,46636,34899,1695,50431,26956,15268,47239,2767,19033,3948,26321,163628,6651,1659,36660,19523,6775,24064,2543
2019,1430805,175116,1255689,28304,4475,42441,17759,122687,19785,12823,5692,-,96009,54816,5279,9437,38259,27180,9282,10177,23082,31609,2185,18595,8205,38053,9982,19417,26044,4723,5682,12840,2691,18613,6723,43500,34079,1794,50338,25679,14961,45702,2740,18608,3801,26349,158429,6665,1608,36091,19261,6800,23956,2479